set_key,set_display,theme,epic_color,slot_num,item_name,rarity,variants
emberforge,Emberforge,volcanic knight,"molten orange and ember glow",1,Emberforge War Helm,rare,n
emberforge,Emberforge,volcanic knight,"molten orange and ember glow",2,Emberforge Plate Cuirass,rare,n|f
emberforge,Emberforge,volcanic knight,"molten orange and ember glow",3,Emberforge Gauntlets,uncommon,n
emberforge,Emberforge,volcanic knight,"molten orange and ember glow",4,Emberforge Plate Greaves,uncommon,n|f
emberforge,Emberforge,volcanic knight,"molten orange and ember glow",5,Emberforge Marching Boots,common,n|f
emberforge,Emberforge,volcanic knight,"molten orange and ember glow",6,Emberforge Greatsword,epic,n
emberforge,Emberforge,volcanic knight,"molten orange and ember glow",7,Emberforge Heart Pendant,rare,n
emberforge,Emberforge,volcanic knight,"molten orange and ember glow",8,Emberforge Band of Cinders,uncommon,n
emberforge,Emberforge,volcanic knight,"molten orange and ember glow",9,Emberforge Ash Band,common,n
nightveil,Nightveil,shadow rogue,"violet shadow energy",1,Nightveil Hood,rare,n
nightveil,Nightveil,shadow rogue,"violet shadow energy",2,Nightveil Shadow Jerkin,rare,n|f
nightveil,Nightveil,shadow rogue,"violet shadow energy",3,Nightveil Grip Gloves,uncommon,n
nightveil,Nightveil,shadow rogue,"violet shadow energy",4,Nightveil Silent Leggings,uncommon,n|f
nightveil,Nightveil,shadow rogue,"violet shadow energy",5,Nightveil Step Boots,rare,n|f
nightveil,Nightveil,shadow rogue,"violet shadow energy",6,Nightveil Fang Dagger,epic,n
nightveil,Nightveil,shadow rogue,"violet shadow energy",7,Nightveil Whisper Charm,uncommon,n
nightveil,Nightveil,shadow rogue,"violet shadow energy",8,Nightveil Assassin Ring,rare,n
nightveil,Nightveil,shadow rogue,"violet shadow energy",9,Nightveil Shade Band,common,n
